# Gwenedeg
àr	war
é	o
éc'h	oc'h
àrnezhe	warnezhe
diàr	diwar


# Unvaniañ
nebeud	nebeut
yaouankik	yaouankig
kantvet	kantved
hanterkantved	hanterkantvet
ugentved	ugentvet
ty	ti
moutik	moutig
stokholm	Stockholm


# Fr to Br
office	ofis
musique	muzik


# Common voice
c'hoazhin	c'hoarzhin
million	milion
choari	c'hoari
bezaén	bezañ
hanterkanvedenn	hanterkantvedenn
brezhonek	brezhoneg
erwann	Erwan
nebuet	nebeut
france	Frañs
peseut	peseurt
vitale	vital
techout	tec'hout
ne reomp nemer sentiñ	ne reomp nemet sentiñ
er borioù pell	er broioù pell
aozadennn	aozadenn
emcihañs	emichañs
vrummenn	vrumenn
skinwell	skinwel
migon	mignon
taski	taksi
ecowatt	eko watt
c'houlzma	c'houlz ma
eo be tlakaet	eo bet lakaet
ao	aotrou
dim	dimezell
aeoc'h	aesoc'h
triugentved	triugentvet
maoc'h	emaoc'h
penaoz	penaos
dilec'hiadennoù	dilerc'hiadennoù
ac'hanoch	ac'hanoc'h
c'whi	c'hwi
mille 	mil 
chwi	c'hwi
ar smic	ar SMIC
eit	evit
evt	evit
vbeethoven	Beethoven
skriviñ	skrivañ
warchoazh	warc'hoazh
llaer	laer
achu	echu
skzuizh	skuizh
bernn	benn
sonedagoù	sonadegoù
genoc'h	ganeoc'h
emezoc ’ h	emezoc'h
lenann	lenan
oar ke lenn	oar ket lenn
choant	c'hoant
R B I	RBI
gulennet	goulennet
klanv	klañv
enañ	ennañ
garom	garomp
neus	n'eus
meus	m'eus
M eus	m'eus
a rpaourkaezh	ar paourkaezh
½	hanter
Petr a	petra
I.V. 	itron Varia 
dwb	diwar benn
s.o. 	sellet ouzh 
Dime Square	*Dime *Square
Microsoft Corporation	Microsoft *Corporation
ar Mille-Clubs	ar *Mille *Clubs
Local Hero	*Local *Hero
enoet	enoeet
Alliance Française	*Alliance *Française
eizvedenn	eizhvedenn
aluletez	alumetez
dishoñjal	disoñjal
tonnenn	tonenn
kaondaonet	kondaonet
unnan	unan
c'houzhout	c'houzout
Outlook dija	*Outlook dija


# Anvioù
marie	Mari
stéphan	Stefan
catherine	Katrin
philippe	Filip
christian	Kristian


télégramme	telegram
nozvat	noz vat
aotroù	aotrou
jug	chug
moneizh	moneiz
grenv	greñv
aman	amañ
dañvezioù	danvezioù
dañvez	danvez
emsalc'h	emzalc'h
stañk	stank
avañtur	avantur
seitekved	seitekvet
èl	evel
gete	gante
gante	ganto
gouvezet	gouezet
awalc'h	a-walc'h
marmoused	marmouzed
diagnostics	diagnostiks
marc'hatmatoc'h	marc'hadmatoc'h
hirie	hiriv
chigago	chicago
toud	tout
siezhvet	seizhvet
c'homlec'h	chomlec'h
neizhañ	neizhiañ
choulz 	 c'houlz
choant 	c'hoant 
virgulen	virgulenn
founnus	fonnus
huelgoat	Uhelgoad
kambodjia	Kambodja

helen	Elen
hélène	Elen
arru	erru
be'h	bec'h
pa'z	p'az
pa'n	p'an
pa'm	p'am
na'm	n'am
ne'm	n'em
ne'z	n'ez
ma'm	m'am
me'm	m'em
me 'm eus	me'm eus
 'm eus	 m'eus

bzh	BZH
www	WWW
m2	metrad karrez
%	dregant
cl	santilitr
ml	mililitr

Vvet	pempvet
XVIIvet	seitekvet
XIIvet	daouzekvet

5	pemp
6	c'hwec'h
7	seizh
8	eizh
9	nav
10	dek
11	unnek
13	trizek
15	pemzek
18	triwec'h
19	naontek
20	ugent
30	tregont
40	daou ugent
50	hanter-kant
60	tri ugent
70	dek ha tri ugent
80	pevar ugent
90	dek ha pevar ugent
100	kant
120	kant ugent
180	kant pevar ugent
150	kant hanter kant
200	daou c'hant
250	daou c'hant hanter kant
300	tri c'hant
400	pevar c'hant
500	pemp kant
600	c'hwec'h kant
700	seizh kant
800	eizh kant
900	nav c'hant
1000	mil
1840	mil eizh kant daou ugent
1846	mil eizh kant c'hwec'h ha daou ugent
1905	mil nav c'hant pemp
1907	mil nav c'hant seizh
1910	mil nav c'hant dek
1913	mil nav c'hant trizek
1916	mil nav c'hant c'hwezek
1968	mil nav c'hant eizh ha tri ugent
1991	mil nav c'hant unnek ha pevar ugent
2000	daou vil
2005	daou vil pemp
2006	daou vil c'hwec'h
2007	daou vil seizh
2008	daou vil eizh
2012	daou vil daouzek
2015	daou vil pemzek
2016	daou vil c'hwezek
2017	daou vil seitek
2018	daou vil triwec'h
2019	daou vil naontek
2020	daou vil ugent
2021	daou vil un warn ugent
2024	daou vil pevar warn ugent
